"DateTime","2024 Number of flights","2024 7-day moving average","2023 7-day moving average","2022 7-day moving average","2021 7-day moving average","2020 7-day moving average"
"2024-01-01",150154,172960,157028,143650,127803,164362
"2024-01-02",185675,175911,158893,143583,126909,165769
"2024-01-03",191593,176123,157523,144735,125859,165403
"2024-01-04",194080,177035,156201,147016,126436,164985
"2024-01-05",202046,178623,156988,148804,125693,166528
"2024-01-06",165110,177159,159329,151214,125084,168421
"2024-01-07",165679,179191,165296,155277,128658,171657
"2024-01-08",181432,183659,171108,161570,135225,176691
"2024-01-09",167511,181064,172957,162293,137174,178076
"2024-01-10",188073,180561,176102,162589,137578,179282
"2024-01-11",197694,181077,178472,162852,137183,177687
"2024-01-12",179370,177838,178506,165239,137420,176103
"2024-01-13",159484,177034,177764,167662,139210,174255
"2024-01-14",156267,175690,176292,169501,140793,172803
"2024-01-15",173271,174524,175169,168939,141322,173944
"2024-01-16",157575,173104,174676,168333,140200,174154
"2024-01-17",171540,170743,174179,167231,139005,174764
"2024-01-18",190812,169759,173672,166617,139296,175720
"2024-01-19",187129,170868,174433,165013,139108,176331
"2024-01-20",174793,173055,176340,162678,137810,178826
"2024-01-21",163249,174052,176740,162427,137051,181355
"2024-01-22",175287,174340,175254,163047,137710,180920
"2024-01-23",172780,176512,174478,164971,137609,181318
"2024-01-24",167167,175888,174927,166769,136173,181517
"2024-01-25",178157,174080,173589,166648,133990,181667
"2024-01-26",185207,173805,174039,167461,132588,181449
"2024-01-27",169139,172998,175043,169722,131495,179682
"2024-01-28",170063,173971,176777,169984,130368,177889
"2024-01-29",196299,176973,178000,169560,130109,177914
"2024-01-30",204495,181503,178014,170547,130679,177404
"2024-01-31",203389,186678,176321,170515,131315,176746
"2024-02-01",210181,191253,178232,170248,131203,175570
"2024-02-02",196919,192926,178685,166931,131082,174770
"2024-02-03",180398,194534,177371,161897,132717,175156
"2024-02-04",171307,194712,177206,158250,134380,174070
"2024-02-05",185884,193224,179172,159131,134359,172705
"2024-02-06",194581,191808,182411,158551,133578,170661
"2024-02-07",204484,191964,186257,158821,132443,170184
"2024-02-08",207007,191511,189832,161459,134083,172443
"2024-02-09",204154,192545,192412,167495,134288,171584
"2024-02-10",178869,192326,194236,174295,133187,168731
"2024-02-11",168624,191943,195384,180608,130451,167461
"2024-02-12",194555,193182,196058,183830,128074,167653
"2024-02-13",207397,195012,196801,184098,125713,168317
"2024-02-14",217948,196936,195577,185383,124552,169889
"2024-02-15",218193,198534,193442,185663,121057,169805
"2024-02-16",218183,200538,191746,183118,119406,170475
"2024-02-17",179704,200657,190582,179732,119893,172520
"2024-02-18",183025,202715,191740,178284,119870,174004
"2024-02-19",208819,204752,192488,177306,121228,175109
"2024-02-20",217866,206248,192196,178173,126565,176087
"2024-02-21",216790,206082,192485,177410,132317,176679
"2024-02-22",213890,205468,190147,174313,137021,177533
"2024-02-23",213193,204755,188554,174458,142640,178806
"2024-02-24",197692,207325,188126,175627,146166,178806
"2024-02-25",201811,210008,185137,176188,151435,178842
"2024-02-26",208322,209937,183955,178188,155171,177380
"2024-02-27",194897,206656,182252,179743,153836,177882
"2024-02-28",193365,203310,182903,182573,152191,177506
"2024-02-29",213889,203309,,,,176346
"2024-03-01",207539,202502,186314,187602,152684,176520
"2024-03-02",173351,199024,188155,191794,152728,176363
"2024-03-03",178243,195658,188568,195314,153296,176997
"2024-03-04",199404,194384,190190,197308,153453,178235
"2024-03-05",200643,195204,192020,195300,154635,178483
"2024-03-06",201875,196420,193983,193744,157806,177692
"2024-03-07",214515,196510,193779,190964,161088,177885
"2024-03-08",219690,198245,192048,189394,163452,178416
"2024-03-09",183785,199736,192616,186669,164047,178796
"2024-03-10",190810,201531,192026,186121,162413,177982
"2024-03-11",210555,203124,190725,183684,160729,177834
"2024-03-12",217391,205517,188882,182398,160134,176583
"2024-03-13",227961,209243,186710,183747,158919,174208
"2024-03-14",219935,210018,186690,186275,156194,172383
"2024-03-15",209363,208542,189242,187083,153774,169859
"2024-03-16",199069,210726,190987,188000,152502,167279
"2024-03-17",190011,210612,192839,187553,152071,164012
"2024-03-18",208860,210370,194773,188967,151400,158725
"2024-03-19",218507,210529,196561,190431,151927,151899
"2024-03-20",228805,210650,199247,191115,154597,145781
"2024-03-21",231717,212333,200234,190349,157258,140043
"2024-03-22",216217,213312,198945,189441,159514,132709
"2024-03-23",181045,210737,196548,188699,160924,123842
"2024-03-24",182223,209624,196171,188251,162484,116730
"2024-03-25",200032,208363,194069,189567,164241,109608
"2024-03-26",203711,206250,194264,190842,164622,104585
"2024-03-27",216272,204459,194475,191156,163530,98890
"2024-03-28",220634,202876,195539,191514,162488,92311
"2024-03-29",218113,203147,195760,192812,163496,86931
"2024-03-30",194073,205008,198372,193151,165804,83941
"2024-03-31",178824,204522,197073,192972,167335,80930
"2024-04-01",201069,204670,196518,190975,169596,78923
"2024-04-02",207688,205239,196212,189412,170333,75931
"2024-04-03",201597,203142,195633,187254,171673,73575
"2024-04-04",216585,202564,195213,185586,171999,72441
"2024-04-05",226230,203723,196339,182181,171836,71376
"2024-04-06",209383,205910,196625,179661,170921,70394
